,precision,recall,f1-score,support
basophil,1.0,0.9959016393442623,0.997946611909651,244.0
eosinophil,0.9984,1.0,0.9991993594875901,624.0
erythroblast,0.9935691318327974,0.9935691318327974,0.9935691318327974,311.0
ig,0.9790575916230366,0.9689119170984456,0.9739583333333333,579.0
lymphocyte,0.995850622406639,0.9876543209876543,0.9917355371900826,243.0
monocyte,0.992831541218638,0.9753521126760564,0.9840142095914742,284.0
neutrophil,0.9691176470588235,0.9894894894894894,0.9791976225854384,666.0
platelet,1.0,0.997872340425532,0.9989350372736955,470.0
accuracy,0.9885998246126864,0.9885998246126864,0.9885998246126864,0.9885998246126864
macro avg,0.9911033167674919,0.9885938689817797,0.9898194804005078,3421.0
weighted avg,0.9886770410528563,0.9885998246126864,0.9886051165881083,3421.0
